"","date","plate"
"65","2010-10-01","GTA1989"
"66","2010-10-01","TTRBO7"
"67","2010-10-01","BPILLA"
"68","2010-10-01","TWICKS"
"69","2010-10-01","CAELA"
"70","2010-10-01","UTOG134"
"71","2010-10-01","HI5NY"
"72","2010-10-01","CAMLOT13"
"73","2010-10-01","CAMLOT14"
"74","2010-10-01","VALDIZON"
"75","2010-10-01","VEENDAM"
"76","2010-10-01","VERGASER"
"77","2010-10-01","HOTGTR"
"78","2010-10-01","CCCNY"
"79","2010-10-01","CEYLON1"
"80","2010-10-01","VRAJ"
"81","2010-10-01","HYEVLCTY"
"82","2010-10-01","CKG"
"83","2010-10-01","ILVYRKES"
"84","2010-10-01","IMSPRTCS"
"85","2010-10-01","COOLMYK"
"86","2010-10-01","COYOTEHP"
"87","2010-10-01","CULTR"
"88","2010-10-01","JAGSS100"
"89","2010-10-01","XTOPHERX"
"90","2010-10-01","XXFJXX"
"91","2010-10-01","JAZZ4CB"
"92","2010-10-01","DANYJETS"
"93","2010-10-01","YUHAN1"
"94","2010-10-01","JGG1"
"95","2010-10-01","JISJR"
"96","2010-10-01","DERJAGER"
"97","2010-10-01","JML28"
"98","2010-10-01","DINOGT"
"99","2010-10-01","JNGLLND"
"100","2010-10-01","DLW810"
"101","2010-10-01","1BRONSON"
"102","2010-10-01","JS8888"
"103","2010-10-01","1KMCSBC2"
"104","2010-10-01","JUGHEAD"
"105","2010-10-01","JUPITER"
"106","2010-10-01","1RMP"
"107","2010-10-01","1STRNGBW"
"108","2010-10-01","DRYBSMT"
"109","2010-10-01","KAHRAMN2"
"110","2010-10-01","KANITAT"
"111","2010-10-01","DURWOOD"
"112","2010-10-01","143EET"
"113","2010-10-01","2BONAIRE"
"114","2010-10-01","ELITE151"
"115","2010-10-01","EMPERORI"
"116","2010-10-01","KYRILESN"
"117","2010-10-01","LAKELUV2"
"118","2010-10-01","LANDY"
"119","2010-10-01","LAX09"
"120","2010-10-01","302UTOG"
"121","2010-10-01","LITZA"
"122","2010-10-01","LLUVS71"
"123","2010-10-01","LOLA240"
"124","2010-10-01","4UU2NV"
"125","2010-10-01","479SWIM"
"126","2010-10-01","5HAGS"
"127","2010-10-01","LUVARTS"
"128","2010-10-01","LUVMIBYS"
"129","2010-10-01","LUVODIE"
"130","2010-10-01","5836PN"
"131","2010-10-01","LYRIX"
"132","2010-10-01","MAGGIEE"
"133","2010-10-01","67XKEJAG"
"134","2010-10-01","MANGANO1"
"135","2010-10-01","69SBEST"
"136","2010-10-01","70NOVA"
"137","2010-10-01","8ARORA8"
"138","2010-10-01","81CAMZ28"
"139","2010-10-01","926KVP"
"140","2010-10-01","MJPAJP"
"141","2010-10-01","MLEKAR"
"142","2010-10-01","MORT1MER"
"143","2010-10-01","MS556"
"144","2010-10-01","MTNB1KER"
"145","2010-10-01","NILSENLA"
"146","2010-10-01","NSTYCHIC"
"147","2010-10-01","OLYMPICS"
"148","2010-10-01","OMALLEYS"
"149","2010-10-01","PARLOR"
"150","2010-10-01","PFD3"
"151","2010-10-01","PHILZ8"
"152","2010-10-01","PROCPA"
"153","2010-10-01","RAILS4U"
"154","2010-10-01","RB27"
"155","2010-10-01","RDSPIKE2"
"156","2010-10-01","REF1031"
"157","2010-10-01","RJBCIB"
"158","2010-10-01","RMPH"
"159","2010-10-01","RONNIE07"
"160","2010-10-01","RONNY2"
"161","2010-10-01","RONSTRK"
"162","2010-10-01","ROTT"
"163","2010-10-01","SCORD"
"164","2010-10-01","SETT"
"165","2010-10-01","SHOWLS6"
"166","2010-10-01","SHP"
"167","2010-10-01","BM750"
"168","2010-10-01","LENGED"
"169","2010-10-02","GOHST"
"170","2010-10-02","GREENN"
"171","2010-10-02","C3LT1C"
"172","2010-10-02","DIAVEL"
"173","2010-10-02","ADC824"
"174","2010-10-02","AX6898"
"175","2010-10-02","GALTEK"
"176","2010-10-02","TINMTH"
"177","2010-10-02","TONI1"
"178","2010-10-02","CARDLR"
"179","2010-10-02","JROSED"
"180","2010-10-02","JS550"
"181","2010-10-02","2S3"
"182","2010-10-02","MCB6"
"183","2010-10-02","NINA64"
"184","2010-10-02","PLMBR"
"185","2010-10-02","PLMBR1"
"186","2010-10-02","PLMBR2"
"187","2010-10-02","PM822"
"188","2010-10-02","SASHA2"
"189","2010-10-02","AAANY20"
"190","2010-10-02","SJOCOA"
"191","2010-10-02","ADKS46R"
"192","2010-10-02","EXORCZED"
"193","2010-10-02","SLIMSSON"
"194","2010-10-02","SMALL"
"195","2010-10-02","SMKESHCK"
"196","2010-10-02","AKOG"
"197","2010-10-02","ALBIN502"
"198","2010-10-02","ALISHA2"
"199","2010-10-02","AMDSRVS1"
"200","2010-10-02","FBJARA"
"201","2010-10-02","STEEKS"
"202","2010-10-02","FIRYMANE"
"203","2010-10-02","SUEMALL"
"204","2010-10-02","AURAVOIR"
"205","2010-10-02","BACK268"
"206","2010-10-02","FYAWORKS"
"207","2010-10-02","F7RUNS9S"
"208","2010-10-02","BEEGEES"
"209","2010-10-02","THECEPH"
"210","2010-10-02","GOD4GIV"
"211","2010-10-02","BJD17"
"212","2010-10-02","GONRACIN"
"213","2010-10-02","GOOLDO"
"214","2010-10-02","TONGORE"
"215","2010-10-02","BLUBOMBR"
"216","2010-10-02","BOOLIEXO"
"217","2010-10-02","BREAKAWY"
"218","2010-10-02","BSAIN"
"219","2010-10-02","UBUNTU"
"220","2010-10-02","BUBBL3S"
"221","2010-10-02","HEALEY59"
"222","2010-10-02","HIBERNIA"
"223","2010-10-02","HND2HND2"
"224","2010-10-02","VIPER08"
"225","2010-10-02","VITA1"
"226","2010-10-02","VMVC"
"227","2010-10-02","HVACPROF"
"228","2010-10-02","IAMA55"
"229","2010-10-02","IGOTAHMR"
"230","2010-10-02","WHYPAVE"
"231","2010-10-02","WLYMKYDK"
"232","2010-10-02","WVLIET1"
"233","2010-10-02","JAG7"
"234","2010-10-02","YEROOOOO"
"235","2010-10-02","YESNAMEN"
"236","2010-10-02","JETSBABE"
"237","2010-10-02","DEC4"
"238","2010-10-02","ZESA"
"239","2010-10-02","ZGR62"
"240","2010-10-02","DERSH"
"241","2010-10-02","JLO1"
"242","2010-10-02","JOLENA78"
"243","2010-10-02","1HEDWIG1"
"244","2010-10-02","10BUCK"
"245","2010-10-02","10MJS"
"246","2010-10-02","DVSMITH"
"247","2010-10-02","1939MRB"
"248","2010-10-02","EKX0001"
"249","2010-10-02","KJP3"
"250","2010-10-02","ELITE148"
"251","2010-10-02","2WINMOM"
"252","2010-10-02","K3YBORDS"
"253","2010-10-02","2210GO"
"254","2010-10-02","LADYBUGH"
"255","2010-10-02","30YRNOUT"
"256","2010-10-02","4BIGK9S"
"257","2010-10-02","LMBS"
"258","2010-10-02","LNDNCOVE"
"259","2010-10-02","LOWONAIR"
"260","2010-10-02","5F501"
"261","2010-10-02","LUVUCOCO"
"262","2010-10-02","59FC"
"263","2010-10-02","MARYNEL"
"264","2010-10-02","71CHVYSS"
"265","2010-10-02","73NOV"
"266","2010-10-02","74KATHYJ"
"267","2010-10-02","74KISS"
"268","2010-10-02","MIZTRESS"
"269","2010-10-02","MLEWIS"
"270","2010-10-02","MLKNCKEZ"
"271","2010-10-02","MOOVIN"
"272","2010-10-02","MPCC2"
"273","2010-10-02","MX793"
"274","2010-10-02","MY3CHOWS"
"275","2010-10-02","NASTYC5"
"276","2010-10-02","NOIRCAR"
"277","2010-10-02","NYL1"
"278","2010-10-02","N3VRL8"
"279","2010-10-02","OEM3STAR"
"280","2010-10-02","ONDATOWN"
"281","2010-10-02","ON3LOV3"
"282","2010-10-02","PJSMILES"
"283","2010-10-02","PMS366"
"284","2010-10-02","POPOLI4"
"285","2010-10-02","PROFETTA"
"286","2010-10-02","PSCH141"
"287","2010-10-02","PSH2LMT"
"288","2010-10-02","RALPHEEE"
"289","2010-10-02","RAMNA"
"290","2010-10-02","RBL65"
"291","2010-10-02","REEVER"
"292","2010-10-02","REGGIEC"
"293","2010-10-02","ROMANN"
"294","2010-10-02","RRTRAINS"
"295","2010-10-02","RXWL"
"296","2010-10-02","SCAP1"
"297","2010-10-02","SCRFF"
"298","2010-10-02","JP1"
"299","2010-10-04","BANDBOX"
"300","2010-10-04","BOBTERY"
"301","2010-10-04","MABEE"
"302","2010-10-04","9COUNTY"
"303","2010-10-04","PAULNY"
"304","2010-10-05","SPIKES"
"305","2010-10-05","SY5688"
"306","2010-10-05","GREEN3"
"307","2010-10-05","HAULER"
"308","2010-10-05","IOUAA"
"309","2010-10-05","ELLIES"
"310","2010-10-05","69TRY"
"311","2010-10-05","PHX14"
"312","2010-10-05","SING3R"
"313","2010-10-05","SMUSH"
"314","2010-10-05","ARLEN4"
"315","2010-10-05","BIGSKY"
"316","2010-10-05","GOBDGR"
"317","2010-10-05","BO5TON"
"318","2010-10-05","VELINA"
"319","2010-10-05","H27HM3"
"320","2010-10-05","CHICKN"
"321","2010-10-05","ILVEU2"
"322","2010-10-05","YY6068"
"323","2010-10-05","JOANEY"
"324","2010-10-05","K9FRED"
"325","2010-10-05","33HAS"
"326","2010-10-05","LOLA10"
"327","2010-10-05","6281TD"
"328","2010-10-05","MBZ"
"329","2010-10-05","MONA19"
"330","2010-10-05","MP888"
"331","2010-10-05","MVPDAD"
"332","2010-10-05","MYKAL2"
"333","2010-10-05","MYNYYS"
"334","2010-10-05","SETTER"
"335","2010-10-05","AA8888"
"336","2010-10-05","SILLYMOM"
"337","2010-10-05","SIRJ"
"338","2010-10-05","ACURAFAN"
"339","2010-10-05","SJOCOA2"
"340","2010-10-05","AFCJETS"
"341","2010-10-05","SMTNLAKE"
"342","2010-10-05","SOONASTY"
"343","2010-10-05","FAST111S"
"344","2010-10-05","SPIRALZ"
"345","2010-10-05","FCS105"
"346","2010-10-05","FD142"
"347","2010-10-05","ANKURA"
"348","2010-10-05","FILAMS"
"349","2010-10-05","STAIRON"
"350","2010-10-05","STANG98"
"351","2010-10-05","SUMMR79"
"352","2010-10-05","AVA"
"353","2010-10-05","SUNNY104"
"354","2010-10-05","SUNNY105"
"355","2010-10-05","SUNNY106"
"356","2010-10-05","SUNNY107"
"357","2010-10-05","SUNNY108"
"358","2010-10-05","SUNNY109"
"359","2010-10-05","SUNNY110"
"360","2010-10-05","SUNNY111"
"361","2010-10-05","SUNNY112"
"362","2010-10-05","SUNNY113"
"363","2010-10-05","SUPERSTA"
"364","2010-10-05","FPIII"
"365","2010-10-05","FRSTTRX"
"366","2010-10-05","SXYDRB"
"367","2010-10-05","S1CKBRO"
"368","2010-10-05","BARNALA"
"369","2010-10-05","TAKITEZ"
"370","2010-10-05","BBQ911"
"371","2010-10-05","TATTUD3"
"372","2010-10-05","TAYLER"
"373","2010-10-05","GEORGIST"
"374","2010-10-05","BERVWIN"
"375","2010-10-05","THEHATT"
"376","2010-10-05","THEOTIS1"
"377","2010-10-05","THEOTIS2"
"378","2010-10-05","BILEGOAT"
"379","2010-10-05","TK1"
"380","2010-10-05","TMEUP"
"381","2010-10-05","TOFISH"
"382","2010-10-05","BLESSIAM"
"383","2010-10-05","BLS501"
"384","2010-10-05","TORFACE"
"385","2010-10-05","BNDT79"
"386","2010-10-05","GRVSTN"
"387","2010-10-05","GR1M3Y"
"388","2010-10-05","BORN2ROK"
"389","2010-10-05","GTRUS"
"390","2010-10-05","GUTFISH"
"391","2010-10-05","BRILYN"
"392","2010-10-05","TUURBO"
"393","2010-10-05","BRS31"
"394","2010-10-05","HACKIE"
"395","2010-10-05","BTRUTH"
"396","2010-10-05","BUDGRL29"
"397","2010-10-05","BUFBILLS"
"398","2010-10-05","HATZOLA"
"399","2010-10-05","UNOUCME"
"400","2010-10-05","USAGEN"
"401","2010-10-05","HOLDEM1"
"402","2010-10-05","VG356"
"403","2010-10-05","VINNYS69"
"404","2010-10-05","CFP4MDS"
"405","2010-10-05","CFUNRLHM"
"406","2010-10-05","CHEVYHD"
"407","2010-10-05","IAMTHIAM"
"408","2010-10-05","WAHHHHHH"
"409","2010-10-05","WALPPR4U"
"410","2010-10-05","CHUXTANG"
"411","2010-10-05","ICOOLYOU"
"412","2010-10-05","CIAOORSO"
"413","2010-10-05","IFD146"
"414","2010-10-05","ILT"
"415","2010-10-05","COLELLA1"
"416","2010-10-05","CORAX"
"417","2010-10-05","INSKI"
"418","2010-10-05","INTA028"
"419","2010-10-05","IROCLI87"
"420","2010-10-05","WSA"
"421","2010-10-05","WYZGUY1"
"422","2010-10-05","WYZGUY2"
"423","2010-10-05","W1TCHGRL"
"424","2010-10-05","CTVETTE"
"425","2010-10-05","JAZZLUVR"
"426","2010-10-05","JBURDEN"
"427","2010-10-05","DC135K9"
"428","2010-10-05","DDSROSE"
"429","2010-10-05","JG194"
"430","2010-10-05","ZANY"
"431","2010-10-05","ZARCONE4"
"432","2010-10-05","ZOPOUL21"
"433","2010-10-05","DHFDC"
"434","2010-10-05","ZZZU"
"435","2010-10-05","0101KIE"
"436","2010-10-05","03PICKUP"
"437","2010-10-05","1CEL"
"438","2010-10-05","DNTBEMAD"
"439","2010-10-05","DOCSGT"
"440","2010-10-05","1FB299"
"441","2010-10-05","JTNICK"
"442","2010-10-05","1MAKO1"
"443","2010-10-05","JUDYTHE1"
"444","2010-10-05","DRCEO"
"445","2010-10-05","KAMARA1"
"446","2010-10-05","KAM371AN"
"447","2010-10-05","112SNT"
"448","2010-10-05","12JANET"
"449","2010-10-05","KDMORT1"
"450","2010-10-05","EGC42"
"451","2010-10-05","1971CJL"
"452","2010-10-05","ELG77"
"453","2010-10-05","ELITE077"
"454","2010-10-05","2CQVBS"
"455","2010-10-05","ELITE93"
"456","2010-10-05","EMJS12"
"457","2010-10-05","K1LLINIT"
"458","2010-10-05","223REM"
"459","2010-10-05","24JEFFGO"
"460","2010-10-05","LAXBOYS"
"461","2010-10-05","LA4EST7"
"462","2010-10-05","3B10"
"463","2010-10-05","LEARCAPT"
"464","2010-10-05","3KDZ4ME"
"465","2010-10-05","LILQTEE"
"466","2010-10-05","4JEHOVA"
"467","2010-10-05","LMPRO1"
"468","2010-10-05","LMPRO3"
"469","2010-10-05","LODGE911"
"470","2010-10-05","41WOODIE"
"471","2010-10-05","LPFAIRIE"
"472","2010-10-05","5WALLEYE"
"473","2010-10-05","LUVMYTL"
"474","2010-10-05","55RAGTP"
"475","2010-10-05","LVGRNMA"
"476","2010-10-05","550BEAST"
"477","2010-10-05","57CADLAK"
"478","2010-10-05","57DF"
"479","2010-10-05","63TJC"
"480","2010-10-05","65STNGRY"
"481","2010-10-05","7TL"
"482","2010-10-05","8DDS43"
"483","2010-10-05","MEB08"
"484","2010-10-05","82X"
"485","2010-10-05","MELBILL2"
"486","2010-10-05","84FUEGO"
"487","2010-10-05","MINIME8"
"488","2010-10-05","MJGSRIDE"
"489","2010-10-05","MMARRA"
"490","2010-10-05","MOMSRIDE"
"491","2010-10-05","MPAND3"
"492","2010-10-05","MRMIKEB"
"493","2010-10-05","MRSKYWY"
"494","2010-10-05","MYLOS"
"495","2010-10-05","NCRSLOL"
"496","2010-10-05","NEGRO63"
"497","2010-10-05","NUZZICE"
"498","2010-10-05","NUZZICE2"
"499","2010-10-05","NY92"
"500","2010-10-05","OJTDAD"
"501","2010-10-05","OM"
"502","2010-10-05","ONAMBIT"
"503","2010-10-05","ONEHOTG"
"504","2010-10-05","PHOEBE07"
"505","2010-10-05","PIRSQD"
"506","2010-10-05","PJTEN"
"507","2010-10-05","PMSJAG"
"508","2010-10-05","POMPOM1"
"509","2010-10-05","PONY4"
"510","2010-10-05","P1AYTING"
"511","2010-10-05","RADHEMI"
"512","2010-10-05","RALPH98"
"513","2010-10-05","RCYCLDVW"
"514","2010-10-05","REA11Y"
"515","2010-10-05","REIKI"
"516","2010-10-05","RICKYBR"
"517","2010-10-05","ROKMC66"
"518","2010-10-05","ROMEO70"
"519","2010-10-05","ROMO9"
"520","2010-10-05","SANIN03"
"521","2010-10-05","SARGPEPR"
"522","2010-10-05","SBHPREK"
"523","2010-10-05","SCOTBOY"
"524","2010-10-05","SHAGGY"
"525","2010-10-05","SHATTY"
"526","2010-10-06","SHVLED"
"527","2010-10-06","TMFB2"
"528","2010-10-06","AF2O"
"529","2010-10-06","GAMMY7"
"530","2010-10-06","TES2"
"531","2010-10-06","GLNYS"
"532","2010-10-06","TRUNY"
"533","2010-10-06","CISCO"
"534","2010-10-06","IJETSI"
"535","2010-10-06","YASMIN"
"536","2010-10-06","K2PMT"
"537","2010-10-06","MAYAH1"
"538","2010-10-06","NYFT"
"539","2010-10-06","NYSGL"
"540","2010-10-06","N2XHB"
"541","2010-10-06","PS67K"
"542","2010-10-06","RIPCMM"
"543","2010-10-06","AEIMPY"
"544","2010-10-06","E1SH"
"545","2010-10-06","SLOBARU"
"546","2010-10-06","ALARMBIZ"
"547","2010-10-06","ALLINN"
"548","2010-10-06","AMK11"
"549","2010-10-06","FEJNGL44"
"550","2010-10-06","STALAN5"
"551","2010-10-06","FIRSTRAX"
"552","2010-10-06","FITCHIKK"
"553","2010-10-06","ARROWS2"
"554","2010-10-06","FONG1"
"555","2010-10-06","SUNFLOWR"
"556","2010-10-06","AV8RSR8"
"557","2010-10-06","AWSMSON"
"558","2010-10-06","A05"
"559","2010-10-06","A8887"
"560","2010-10-06","GALILEO"
"561","2010-10-06","BAYRAT"
"562","2010-10-06","GEORGES1"
"563","2010-10-06","GGHESQ"
"564","2010-10-06","THDOODLE"
"565","2010-10-06","THIALINA"
"566","2010-10-06","TJTJ"
"567","2010-10-06","BIOYA"
"568","2010-10-06","BIRDMANN"
"569","2010-10-06","BKSLATE"
"570","2010-10-06","BLAKCROS"
"571","2010-10-06","BLMEDOWN"
"572","2010-10-06","GRENFOWL"
"573","2010-10-06","GRFD25"
"574","2010-10-06","TRAMPART"
"575","2010-10-06","BONAROOO"
"576","2010-10-06","TVLAND"
"577","2010-10-06","UC411"
"578","2010-10-06","HEFFRON"
"579","2010-10-06","HEPCATS"
"580","2010-10-06","HJKDDS"
"581","2010-10-06","UW1LLOSE"
"582","2010-10-06","VCTYNJES"
"583","2010-10-06","HOOOKERR"
"584","2010-10-06","VINTNER"
"585","2010-10-06","CEEJAYZ"
"586","2010-10-06","CGASDA"
"587","2010-10-06","V8BAIT"
"588","2010-10-06","IFISHVT"
"589","2010-10-06","CITOMIMI"
"590","2010-10-06","CLIMBER1"
"591","2010-10-06","WELNES4U"
"592","2010-10-06","CMRGHR"
"593","2010-10-06","IMJF16"
"594","2010-10-06","WINDNYC"
"595","2010-10-06","ISABEL56"
"596","2010-10-06","CSL342"
"597","2010-10-06","I300CI"
"598","2010-10-06","CWEST"
"599","2010-10-06","DADLUVYA"
"600","2010-10-06","JAYNE1"
"601","2010-10-06","DANGEL01"
"602","2010-10-06","JEROR"
"603","2010-10-06","DDSKIDS"
"604","2010-10-06","JIMS66"
"605","2010-10-06","DEVOE1"
"606","2010-10-06","ZMDBZ"
"607","2010-10-06","ZORADORA"
"608","2010-10-06","DIBRAN"
"609","2010-10-06","JONY99"
"610","2010-10-06","1BADBOB"
"611","2010-10-06","DMJ87GN"
"612","2010-10-06","DNM0823"
"613","2010-10-06","JPM829"
"614","2010-10-06","1EFA"
"615","2010-10-06","1FINE35"
"616","2010-10-06","1GR8G8"
"617","2010-10-06","DOORMAKR"
"618","2010-10-06","1MOT1ME"
"619","2010-10-06","DRACONS"
"620","2010-10-06","1STDAD09"
"621","2010-10-06","JZQW3"
"622","2010-10-06","KADIJOY"
"623","2010-10-06","DUHUNTR"
"624","2010-10-06","KAR120"
"625","2010-10-06","KATHY9"
"626","2010-10-06","KD11422"
"627","2010-10-06","EARSK9"
"628","2010-10-06","1983Z28"
"629","2010-10-06","EMSRIDE"
"630","2010-10-06","2PLUS4KD"
"631","2010-10-06","K9CRSR"
"632","2010-10-06","4EVRSAIL"
"633","2010-10-06","4JTNME"
"634","2010-10-06","LUVHARLY"
"635","2010-10-06","6BLKICE6"
"636","2010-10-06","6ISH"
"637","2010-10-06","MAKEMORE"
"638","2010-10-06","MASAGEU"
"639","2010-10-06","MEANDEZ"
"640","2010-10-06","MEINZ57"
"641","2010-10-06","942NCP"
"642","2010-10-06","MNG6"
"643","2010-10-06","MOVIEGOR"
"644","2010-10-06","MRMSDJ"
"645","2010-10-06","MRSLS"
"646","2010-10-06","MYSPARKS"
"647","2010-10-06","NAUTIBYZ"
"648","2010-10-06","NIVRAG"
"649","2010-10-06","NOT2SLO"
"650","2010-10-06","NOVO18"
"651","2010-10-06","OLDAYS"
"652","2010-10-06","PAUCAS"
"653","2010-10-06","PAULZA"
"654","2010-10-06","PENNY31"
"655","2010-10-06","PER"
"656","2010-10-06","PHILDOM"
"657","2010-10-06","PITUS"
"658","2010-10-06","PLL1"
"659","2010-10-06","PMATICS"
"660","2010-10-06","POPPETT"
"661","2010-10-06","QRS111"
"662","2010-10-06","RJM43"
"663","2010-10-06","ROCBOX"
"664","2010-10-06","RODDYJ"
"665","2010-10-06","ROG55"
"666","2010-10-06","RSS1996"
"667","2010-10-06","SEWBEEIT"
"668","2010-10-06","SHOPPOP"
"669","2010-10-06","8KNG"
"670","2010-10-06","FR9999"
"671","2010-10-06","JLAUTO"
"672","2010-10-06","M1KEG"
"673","2010-10-07","ACURE"
"674","2010-10-07","FEARME"
"675","2010-10-07","GALENO"
"676","2010-10-07","GZNUTZ"
"677","2010-10-07","CARMO1"
"678","2010-10-07","15EU20"
"679","2010-10-07","SHOSHO"
"680","2010-10-07","EREYES"
"681","2010-10-07","BET"
"682","2010-10-07","HANK20"
"683","2010-10-07","VSZN4B"
"684","2010-10-07","JRBUSA"
"685","2010-10-07","D1RECT"
"686","2010-10-07","KE3NAN"
"687","2010-10-07","KIR1"
"688","2010-10-07","KWNCHG"
"689","2010-10-07","LEONEL"
"690","2010-10-07","LIFEX2"
"691","2010-10-07","4VINNY"
"692","2010-10-07","L2R"
"693","2010-10-07","MSZMZM"
"694","2010-10-07","MX37"
"695","2010-10-07",""
"696","2010-10-07","NUPRTS"
"697","2010-10-07","N2"
"698","2010-10-07","RBC"
"699","2010-10-07","SB101"
"700","2010-10-07","SCS5"
"701","2010-10-07","SCS6"
"702","2010-10-07","SEAYUH"
"703","2010-10-07","ACIM"
"704","2010-10-07","ADEADF"
"705","2010-10-07","SKIJPEAK"
"706","2010-10-07","EZ454"
"707","2010-10-07","SMR"
"708","2010-10-07","ALL96STR"
"709","2010-10-07","ALOISO"
"710","2010-10-07","FAF"
"711","2010-10-07","SPADEZE"
"712","2010-10-07","SPAGZ4"
"713","2010-10-07","AMCTBIRD"
"714","2010-10-07","AMIAAKI"
"715","2010-10-07","AMIRAMS"
"716","2010-10-07","FCS561"
"717","2010-10-07","SSG555"
"718","2010-10-07","FIGHTMD"
"719","2010-10-07","STARRJOY"
"720","2010-10-07","ARTIST7"
"721","2010-10-07","ASURFER"
"722","2010-10-07","SWEETART"
"723","2010-10-07","SYABRI"
"724","2010-10-07","BAD51CHV"
"725","2010-10-07","S1CK335"
"726","2010-10-07","BAYVIL2"
"727","2010-10-07","GEENEEK"
"728","2010-10-07","GEM51"
"729","2010-10-07","BEACHAJ"
"730","2010-10-07","GKF60"
"731","2010-10-07","BIGBOY87"
"732","2010-10-07","BIGMOMA"
"733","2010-10-07","GOATSVW"
"734","2010-10-07","BIGRICK3"
"735","2010-10-07","TJR"
"736","2010-10-07","BIPOLSKI"
"737","2010-10-07","TODOBOOC"
"738","2010-10-07","GRAMSX5"
"739","2010-10-07","TOWKEHT"
"740","2010-10-07","TPETION4"
"741","2010-10-07","TRE13"
"742","2010-10-07","GR8CFOOD"
"743","2010-10-07","BREMEN27"
"744","2010-10-07","BUGZ1LLA"
"745","2010-10-07","HIGHYOAG"
"746","2010-10-07","CADI55"
"747","2010-10-07","CCDIII"
"748","2010-10-07","CFCA1897"
"749","2010-10-07","VONLEXX"
"750","2010-10-07","CHASARM"
"751","2010-10-07","CHINSTR8"
"752","2010-10-07","IAMHUGE"
"753","2010-10-07","CHUBBY42"
"754","2010-10-07","CLORINDA"
"755","2010-10-07","COBURG"
"756","2010-10-07","COWBOY27"
"757","2010-10-07","IREPIC"
"758","2010-10-07","ISELCADI"
"759","2010-10-07","CSHORE"
"760","2010-10-07","JAXXY"
"761","2010-10-07","YANKES46"
"762","2010-10-07","DATTY3"
"763","2010-10-07","YNKELVR"
"764","2010-10-07","DBLYELO"
"765","2010-10-07","DHMETS"
"766","2010-10-07","JM6"
"767","2010-10-07","JNASTY"
"768","2010-10-07","DITTING"
"769","2010-10-07","JOG4LIFE"
"770","2010-10-07","JOVANI"
"771","2010-10-07","DOM100"
"772","2010-10-07","DOM13"
"773","2010-10-07","DOM230"
"774","2010-10-07","DOM300"
"775","2010-10-07","DOM310"
"776","2010-10-07","DOM62"
"777","2010-10-07","DOM63"
"778","2010-10-07","DOM777"
"779","2010-10-07","DOM78"
"780","2010-10-07","1KC"
"781","2010-10-07","DOOWORK"
"782","2010-10-07","DOT57"
"783","2010-10-07","JTONE"
"784","2010-10-07","1MJ"
"785","2010-10-07","DRUMMER"
"786","2010-10-07","1VISIONS"
"787","2010-10-07","DSI75"
"788","2010-10-07","10LH"
"789","2010-10-07","DW1688"
"790","2010-10-07","EASY39"
"791","2010-10-07","KEE404"
"792","2010-10-07","KENO1"
"793","2010-10-07","ELITE58"
"794","2010-10-07","2UJEAN"
"795","2010-10-07","LCL15OE"
"796","2010-10-07","LEWCIFER"
"797","2010-10-07","LGGESQ"
"798","2010-10-07","3615AMB"
"799","2010-10-07","4EVER2SA"
"800","2010-10-07","4MAGGIO"
"801","2010-10-07","4PANI"
