,date,plate,outcome
28915,2011-06-09,SEBBY,accepted
5628,2010-11-27,GEN331,accepted
112932,2014-03-11,PACECAR,accepted
65951,2012-06-26,HAMZA786,accepted
50439,2012-02-07,FISHNTYM,accepted
40337,2011-10-01,YANKYFAN,accepted
66380,2012-06-30,115FAN,accepted
57160,2012-04-03,SCRUE,accepted
87222,2013-04-06,STAYFRSH,accepted
23895,2011-04-29,JWB4,accepted
72313,2012-09-12,QC9966,accepted
24105,2011-04-30,WICKDCJ,accepted
73644,2012-09-29,JUREBA,accepted
131189,2014-09-17,HOTROD33,accepted
14241,2011-03-08,GAJET,accepted
109409,2014-01-18,MYGRACY,accepted
26529,2011-05-19,TEAMHUNC,accepted
30438,2011-06-22,LADYCEM,accepted
113820,2014-03-20,EZ103,accepted
6972,2010-12-11,MRXQZIT,accepted
2045,2010-10-20,TOG1,accepted
14457,2011-03-08,BLUEBUYA,accepted
39966,2011-09-28,HIDENSIK,accepted
103931,2013-10-18,BKW,accepted
908,2010-10-08,YEAABRO,accepted
23954,2011-04-29,SHLBYGT,accepted
35290,2011-08-09,2011RT,accepted
101802,2013-09-19,ELCC,accepted
12101,2011-02-15,J215F7B,accepted
115072,2014-04-01,SUPERUUU,accepted
50737,2012-02-08,ELITE80,accepted
55285,2012-03-20,M3JOR,accepted
66733,2012-07-04,BON1224,accepted
131728,2014-09-24,BIGGMIKE,accepted
20923,2011-04-12,WIL13,accepted
95130,2013-06-28,RVN67,accepted
51851,2012-02-18,ALYXIS,accepted
22321,2011-04-19,NVMYM3,accepted
90603,2013-05-09,ETTJENN,accepted
78527,2012-12-15,AVIP,accepted
23678,2011-04-28,INCRDBLS,accepted
6444,2010-12-07,LOGOGUY,accepted
22925,2011-04-23,81EG59,accepted
47638,2012-01-04,T174,accepted
32651,2011-07-15,THEBKR,accepted
127567,2014-08-06,WRLIMO7,accepted
101962,2013-09-21,FMANATOR,accepted
88366,2013-04-17,4NOMERCY,accepted
116284,2014-04-10,PJP86,accepted
9189,2011-01-11,KWKS,accepted
123435,2014-06-20,FDE2BLCK,accepted
49686,2012-01-31,SKIHAPPY,accepted
115064,2014-04-01,ALSTR120,accepted
117918,2014-04-25,YAMO,accepted
125407,2014-07-12,TNKCMDR,accepted
126813,2014-07-29,CHARES,accepted
4217,2010-11-09,BUDYZER,accepted
18918,2011-03-31,20NAVY,accepted
74844,2012-10-16,CORNELM,accepted
36041,2011-08-16,1JOKER,accepted
92332,2013-05-27,ETRON,accepted
117350,2014-04-19,OGRG,accepted
17104,2011-03-22,GAMAN,accepted
106139,2013-11-20,WRNGSIDE,accepted
26147,2011-05-17,BSFSS,accepted
20843,2011-04-09,LORARN,accepted
49177,2012-01-24,VMC2,accepted
52230,2012-02-23,GLADYS,accepted
44914,2011-11-29,INTUIT,accepted
70237,2012-08-15,TOLUWANI,accepted
129809,2014-08-30,HUGEANTS,accepted
100615,2013-09-05,59FINS,accepted
59204,2012-04-19,SALZACOR,accepted
90905,2013-05-11,IHUGPUGS,accepted
77299,2012-11-28,LAWNTIME,accepted
48526,2012-01-14,GOSHAART,accepted
29962,2011-06-17,OHBE1,accepted
3971,2010-11-06,CLOMBIA,accepted
10365,2011-01-26,GLD4615,accepted
71227,2012-08-28,MINIMAMA,accepted
97466,2013-07-26,UBERGOV,accepted
127783,2014-08-08,GRIZWOLD,accepted
5337,2010-11-23,EGMXJSC,accepted
61882,2012-05-12,IRNHRSE,accepted
93339,2013-06-08,ACKRED,accepted
62866,2012-05-22,R3DWAGON,accepted
115900,2014-04-08,GNRLBEAN,accepted
115442,2014-04-03,KSAMI,accepted
34829,2011-08-05,SSDIESEL,accepted
78654,2012-12-18,BSTNONNA,accepted
45222,2011-12-02,HITDRIVR,accepted
1656,2010-10-16,4UPOPY,accepted
29184,2011-06-11,XPLOSV,accepted
2057,2010-10-20,USAF5,accepted
65172,2012-06-16,LAM1628,accepted
77812,2012-12-05,PILOTWFE,accepted
54701,2012-03-15,FNGRSTYL,accepted
122151,2014-06-07,EST4LIFE,accepted
5710,2010-11-30,FXYLDY,accepted
67943,2012-07-19,SARAH,accepted
97450,2013-07-26,AMR1,accepted
117596,2014-04-22,NONNI571,accepted
107649,2013-12-14,FERNDCR,accepted
83175,2013-02-26,JGM3,accepted
92789,2013-06-01,MISSTEE,accepted
29501,2011-06-14,LORENZO,accepted
69239,2012-08-03,BUICK70,accepted
2622,2010-10-23,PAARDEN,accepted
53412,2012-03-06,HOTCALL,accepted
126935,2014-07-30,BXR,accepted
52364,2012-02-24,S1GMA,accepted
126051,2014-07-19,ANANDS,accepted
38275,2011-09-09,YCS,accepted
7402,2010-12-18,3PTR,accepted
76844,2012-11-21,BC888,accepted
34944,2011-08-05,SEPHORA5,accepted
47514,2011-12-31,ONETON,accepted
114699,2014-03-27,PEPE153,accepted
48408,2012-01-13,BONNE65,accepted
35748,2011-08-12,RTOAD,accepted
77434,2012-11-30,EMSY2348,accepted
73709,2012-09-29,DEE500,accepted
83812,2013-03-05,OUTLAWCC,accepted
56258,2012-03-27,RUDY2,accepted
96329,2013-07-13,FLTRXS,accepted
46805,2011-12-22,EBF,accepted
19997,2011-04-06,53GA63,accepted
71520,2012-08-31,IMFYN,accepted
56629,2012-03-29,FAME69,accepted
77304,2012-11-29,TGO,accepted
21603,2011-04-15,HOG6,accepted
120200,2014-05-17,FARMTRUK,accepted
99265,2013-08-17,2015G1,accepted
119939,2014-05-15,YALCIN,accepted
130581,2014-09-10,SPLDUP,accepted
114053,2014-03-21,OH14TOY,accepted
74222,2012-10-06,BIGREDSB,accepted
65618,2012-06-22,LNGTWR,accepted
127423,2014-08-05,SUBAWOO,accepted
63815,2012-06-02,PD4419,accepted
45109,2011-12-01,STEELDAD,accepted
97096,2013-07-23,TOWBOATS,accepted
51307,2012-02-14,INTRNT,accepted
105714,2013-11-14,JCUPO,accepted
128331,2014-08-14,MSGEIGER,accepted
116572,2014-04-12,KWIKEE5,accepted
98341,2013-08-07,MMEN432,accepted
79879,2013-01-09,EMS4DSC,accepted
33599,2011-07-23,NEELEEV,accepted
29350,2011-06-14,MPGEEZ,accepted
49737,2012-01-31,CAPORUSO,accepted
6038,2010-12-02,WOTEVER,accepted
126684,2014-07-26,GC1688,accepted
109663,2014-01-24,STLR4LIF,accepted
101027,2013-09-10,ROVAC,accepted
118711,2014-05-02,CHENG999,accepted
91170,2013-05-15,RETE8,accepted
19736,2011-04-05,DRBILL,accepted
121953,2014-06-05,4ALIYAH,accepted
54481,2012-03-14,59DL48,accepted
24933,2011-05-06,MYHORSES,accepted
28662,2011-06-07,LUVRUBY,accepted
131609,2014-09-23,CMUZZY,accepted
30249,2011-06-21,ZOMBI13,accepted
53632,2012-03-08,FLTRSE,accepted
105495,2013-11-09,USMC343,accepted
114418,2014-03-25,DLB46,accepted
83370,2013-02-28,TKO535,accepted
15823,2011-03-15,COLETRKL,accepted
4504,2010-11-13,DAS4,accepted
80293,2013-01-15,CODYBREV,accepted
129057,2014-08-22,LOLSTI,accepted
46176,2011-12-13,R1CER,accepted
91321,2013-05-16,CHEFHART,accepted
130281,2014-09-06,TOROGI,accepted
114389,2014-03-25,USRAHPAR,accepted
33009,2011-07-19,CADEAUX,accepted
54176,2012-03-10,RALPH4,accepted
103598,2013-10-12,JLY1,accepted
68900,2012-07-31,4CARGO,accepted
71475,2012-08-31,GILLON,accepted
94564,2013-06-22,22BENE,accepted
123745,2014-06-24,SS396Z11,accepted
15459,2011-03-12,G108,accepted
62608,2012-05-19,HOOKTIME,accepted
94259,2013-06-19,BADATTD,accepted
75054,2012-10-18,NAZU,accepted
71643,2012-09-01,ZAMILY,accepted
72254,2012-09-11,LIVENLRN,accepted
117494,2014-04-22,B5BEAST,accepted
46878,2011-12-23,TUBASOR,accepted
93509,2013-06-11,BBWE38,accepted
59167,2012-04-19,LEONI,accepted
3210,2010-10-29,KEWLADE,accepted
78896,2012-12-21,IMCOOKIE,accepted
52481,2012-02-25,STEVEND,accepted
1080,2010-10-09,4JADE,accepted
82406,2013-02-16,FLA5H,accepted
1158,2010-10-11,VERMN8TR,accepted
101905,2013-09-20,MEINS,accepted
33860,2011-07-27,GVH,accepted
80835,2013-01-24,ILUIDG,accepted
41112,2011-10-12,WFMTN,accepted
14433,2011-03-08,FJ6044,accepted
109267,2014-01-17,SLORUNNR,accepted
7844,2010-12-24,ANJLBBY,accepted
86285,2013-03-29,4WOW,accepted
15308,2011-03-12,HARLED,accepted
94662,2013-06-22,MARINE68,accepted
120372,2014-05-20,BADKITY1,accepted
67789,2012-07-17,67440GTX,accepted
124684,2014-07-03,MSNONO,accepted
79928,2013-01-10,GEN138,accepted
56175,2012-03-24,MB6XXV,accepted
75938,2012-11-02,SWGLS4,accepted
7861,2010-12-24,ULOOZER,accepted
85119,2013-03-16,PARTYZON,accepted
127244,2014-08-02,139RAE,accepted
113048,2014-03-12,51SS454,accepted
102758,2013-10-02,NETSVET,accepted
126975,2014-07-30,IGOTAGUY,accepted
129609,2014-08-29,B4RBIE,accepted
28242,2011-06-03,IMALMS,accepted
46333,2011-12-15,JOHNNY81,accepted
39134,2011-09-20,BEACHZ,accepted
52944,2012-03-01,BRRAZUCA,accepted
16984,2011-03-22,2006R1,accepted
51371,2012-02-14,CHAIRLFT,accepted
23002,2011-04-23,USM324,accepted
86718,2013-04-02,MAAAAMAA,accepted
68068,2012-07-20,WVPAID4,accepted
9732,2011-01-19,APTYP,accepted
68358,2012-07-24,YOGANUT,accepted
2193,2010-10-21,4L85,accepted
62569,2012-05-19,SS3NEFE,accepted
118215,2014-04-29,BUSTA,accepted
126745,2014-07-26,PRNCESRO,accepted
15643,2011-03-15,09KJO,accepted
64495,2012-06-09,AUTORN,accepted
94651,2013-06-22,LEGION44,accepted
120952,2014-05-24,INRI07,accepted
116821,2014-04-16,DBLDEE,accepted
68425,2012-07-25,SQUISHE,accepted
106918,2013-12-03,LOLVT3C,accepted
131423,2014-09-19,METAPHY6,accepted
6137,2010-12-03,HAYJOHN,accepted
84855,2013-03-15,MATEEN,accepted
24018,2011-04-30,BL3SSD,accepted
49733,2012-01-31,BV,accepted
106344,2013-11-22,10SSLICA,accepted
248,2010-10-02,EKX0001,accepted
89539,2013-04-30,KATO1,accepted
108012,2013-12-21,WOLVES4,accepted
40406,2011-10-04,MRJAM3,accepted
43991,2011-11-16,TALON07,accepted
78863,2012-12-20,SHFTF10,accepted
63847,2012-06-02,HABUG,accepted
57743,2012-04-06,212CODE,accepted
10657,2011-01-29,CU424,accepted
17708,2011-03-25,BKIPP,accepted
101150,2013-09-12,Z28JD,accepted
105267,2013-11-07,K2DLB,accepted
90150,2013-05-04,BFDBEE,accepted
54078,2012-03-10,GREENBAY,accepted
73422,2012-09-26,NYHMUSIC,accepted
122258,2014-06-07,RDRUNNR5,accepted
130142,2014-09-04,SEALGUY,accepted
81709,2013-02-06,NMEFHXWV,accepted
82153,2013-02-13,KTM525,accepted
35186,2011-08-09,SKEE,accepted
3593,2010-11-03,TLE3700,accepted
80898,2013-01-25,EYELEVEL,accepted
92784,2013-06-01,MERCYNP,accepted
62671,2012-05-19,OST8LAX,accepted
35862,2011-08-13,XU16588,accepted
131977,2014-09-26,PHANTASM,accepted
28964,2011-06-09,ITSHER,accepted
117222,2014-04-19,GTFISH,accepted
22082,2011-04-19,ASKJZ,accepted
54054,2012-03-10,ANNATNT,accepted
79768,2013-01-08,BORING,accepted
70113,2012-08-14,ISKINRUN,accepted
79037,2012-12-25,FOPMD5,accepted
113887,2014-03-20,UB3R,accepted
102678,2013-10-01,GEN420,accepted
28511,2011-06-07,KOZROD,accepted
113184,2014-03-13,NURSECYN,accepted
71529,2012-08-31,DUPLJAK,accepted
108603,2014-01-04,JJ7888,accepted
72015,2012-09-07,LINCO78,accepted
122127,2014-06-07,PMC13,accepted
118733,2014-05-02,ED0825,accepted
96495,2013-07-16,34CAMS,accepted
89214,2013-04-26,RESQD3,accepted
75637,2012-10-26,18HASSEL,accepted
105056,2013-11-05,IN10D,accepted
46105,2011-12-13,TRENTINO,accepted
66243,2012-06-28,MIOAMORE,accepted
60172,2012-04-28,S1NNER,accepted
30476,2011-06-23,BUBBA8,accepted
78822,2012-12-20,B6M1C8,accepted
81492,2013-02-02,DONTEVER,accepted
9472,2011-01-14,HELANNDY,accepted
31951,2011-07-08,GRINYA,accepted
22812,2011-04-22,COLECTOR,accepted
70148,2012-08-14,LAWJU3,accepted
4205,2010-11-09,PPT7777,accepted
91738,2013-05-21,COZ,accepted
59445,2012-04-21,GES11,accepted
70869,2012-08-23,ANG11,accepted
40271,2011-10-01,W2MH,accepted
74065,2012-10-04,NETWRKS,accepted
100238,2013-08-30,GEMPIX,accepted
31154,2011-06-29,PENS4EVR,accepted
39544,2011-09-23,17LAX99,accepted
115038,2014-04-01,AJC513,accepted
88552,2013-04-19,WB2PAY,accepted
69859,2012-08-10,BOXRMAMA,accepted
88249,2013-04-16,OVRDR1VE,accepted
93295,2013-06-07,ROZEEDAY,accepted
5778,2010-11-30,HR,accepted
109308,2014-01-17,MAGNUS5,accepted
35977,2011-08-16,ART4LIFE,accepted
104265,2013-10-23,IMDUN,accepted
118353,2014-04-29,LENNY91,accepted
21716,2011-04-15,WLFHOUND,accepted
111073,2014-02-17,NOCODES,accepted
76896,2012-11-21,JR9,accepted
21602,2011-04-15,BXBAGR,accepted
37061,2011-08-25,VITAMINR,accepted
53089,2012-03-02,COUMBE,accepted
115034,2014-04-01,RIPIN2,accepted
45466,2011-12-06,TUSENTAK,accepted
18840,2011-03-30,MYROLLS,accepted
86798,2013-04-03,SKYHOOKD,accepted
120623,2014-05-22,14EP74,accepted
43188,2011-11-04,D1MELO,accepted
95928,2013-07-09,TJS38,accepted
115360,2014-04-03,YPR,accepted
67535,2012-07-14,ASIAN,accepted
45744,2011-12-08,VIRAGE,accepted
28898,2011-06-09,BAYEE,accepted
48932,2012-01-20,BOTJER,accepted
37264,2011-08-27,1ARF,accepted
67208,2012-07-10,MAPIA,accepted
43348,2011-11-05,QUICKY,accepted
99744,2013-08-23,CYRIL,accepted
10639,2011-01-29,TWTRASH,accepted
126851,2014-07-29,IAMMAD,accepted
111914,2014-03-01,1PLACE,accepted
48454,2012-01-13,7XGRAMMY,accepted
114659,2014-03-27,HUTAT,accepted
54835,2012-03-16,666DVL,accepted
60668,2012-05-02,LIRYC,accepted
116603,2014-04-12,PARIHAR,accepted
17166,2011-03-22,ZNSTATED,accepted
42572,2011-10-27,NHL54,accepted
127824,2014-08-08,PWERUP,accepted
71514,2012-08-31,VAROOOOM,accepted
6318,2010-12-04,PINEKNOL,accepted
61432,2012-05-09,THEJKAY,accepted
55126,2012-03-17,WSTHERNY,accepted
22253,2011-04-19,DONEPUDI,accepted
40039,2011-09-29,SWEET5,accepted
83386,2013-02-28,WOLFPAK4,accepted
14346,2011-03-08,68EW34,accepted
40474,2011-10-04,WHT889,accepted
58432,2012-04-12,69SSCHEV,accepted
75150,2012-10-20,1VMAX,accepted
39229,2011-09-20,RAC619,accepted
15118,2011-03-11,OYVEI,accepted
50365,2012-02-07,2012NY,accepted
34469,2011-08-02,KPAL,accepted
12404,2011-02-17,REVOLTIN,accepted
130170,2014-09-05,MFGUS,accepted
17296,2011-03-23,6FOR3,accepted
127109,2014-08-01,CEBEE,accepted
79083,2012-12-25,KEYWEST3,accepted
7734,2010-12-22,RETRIEVR,accepted
25680,2011-05-12,SASKWACH,accepted
109215,2014-01-16,WHUTEVA,accepted
83024,2013-02-23,WORKAC,accepted
43727,2011-11-11,BXSCI7,accepted
68335,2012-07-24,BKLYNKD,accepted
61960,2012-05-15,88FC18,accepted
17287,2011-03-23,LF1SGD,accepted
54256,2012-03-13,ON2,accepted
646,2010-10-06,MYSPARKS,accepted
21872,2011-04-16,OOYEAA,accepted
93535,2013-06-11,CPTOWIFE,accepted
10329,2011-01-26,BGDONG,accepted
94116,2013-06-18,TRUBLD,accepted
124254,2014-06-28,BIGNA5TY,accepted
26790,2011-05-20,6CHERRY9,accepted
5212,2010-11-20,MOCK2,accepted
74374,2012-10-08,35PONY,accepted
100242,2013-08-30,GTOWNEDU,accepted
21843,2011-04-16,NDDL,accepted
31395,2011-07-01,LHPDPC,accepted
82063,2013-02-12,ROMAN2,accepted
38112,2011-09-07,IAMA46ER,accepted
71886,2012-09-06,GARNT,accepted
33063,2011-07-19,9U5813,accepted
69084,2012-08-01,LUVDARCY,accepted
124973,2014-07-08,WUTANG13,accepted
22268,2011-04-19,EE396SS,accepted
130629,2014-09-10,GWAG06,accepted
131935,2014-09-26,SURREY56,accepted
84590,2013-03-13,MRLJ,accepted
72507,2012-09-14,GOTHAM33,accepted
73032,2012-09-21,CRUIZ1N,accepted
92919,2013-06-04,DIETEREN,accepted
34826,2011-08-05,AKA2,accepted
26719,2011-05-20,TOWBOSS,accepted
60926,2012-05-04,IMHO,accepted
118170,2014-04-26,MUD101,accepted
45682,2011-12-07,RAMSEYP,accepted
23505,2011-04-27,1MEL,accepted
91927,2013-05-22,MARGAUX,accepted
115821,2014-04-08,V1RUS,accepted
43605,2011-11-10,LUX,accepted
85310,2013-03-19,SHC99999,accepted
21502,2011-04-14,CLK69,accepted
50335,2012-02-07,V1CTRY,accepted
46218,2011-12-14,HAZEM1,accepted
45615,2011-12-07,BUTRCUPX,accepted
14350,2011-03-08,75DV04,accepted
84155,2013-03-08,WASAABI,accepted
127948,2014-08-09,NY134,accepted
124131,2014-06-27,ANDESNY,accepted
109086,2014-01-14,REDANTLR,accepted
4475,2010-11-11,OMASGOIN,accepted
24659,2011-05-05,ARNW13,accepted
93957,2013-06-15,GE3696,accepted
70056,2012-08-14,GONYR1,accepted
69929,2012-08-11,1978SH,accepted
18654,2011-03-30,13EB25,accepted
94554,2013-06-22,GCLS75,accepted
60352,2012-04-28,SARTORI,accepted
22360,2011-04-20,JANEK,accepted
14507,2011-03-08,JJE,accepted
30317,2011-06-21,OITSBOB,accepted
89251,2013-04-26,JETWAY,accepted
103544,2013-10-12,ELREY,accepted
50815,2012-02-09,271NYG,accepted
57704,2012-04-06,BLS553,accepted
60274,2012-04-28,ILUVONJ,accepted
127763,2014-08-08,SNOTTYGT,accepted
22219,2011-04-19,HOOKED1,accepted
103108,2013-10-08,HRDPRK,accepted
8074,2010-12-28,KIMI,accepted
26217,2011-05-17,4JMH,accepted
9726,2011-01-17,PERVERSO,accepted
29252,2011-06-11,HHHHHHOT,accepted
52565,2012-02-25,MARIOD3,accepted
128443,2014-08-15,NANUET64,accepted
82735,2013-02-20,MSTINA,accepted
131824,2014-09-25,DUCKIT,accepted
97438,2013-07-26,KC2EBZ,accepted
47232,2011-12-29,THE3SEAS,accepted
50734,2012-02-08,D23723,accepted
102339,2013-09-26,N3VRMOR3,accepted
12264,2011-02-16,OITSROB,accepted
86724,2013-04-02,9PAC9,accepted
100666,2013-09-06,SURFQKA,accepted
90586,2013-05-09,CHEERS,accepted
55166,2012-03-17,6G103,accepted
48069,2012-01-10,WUBODS,accepted
91544,2013-05-18,BAHARJUN,accepted
93746,2013-06-13,GOBOX,accepted
20831,2011-04-09,1963R1,accepted
41337,2011-10-13,NYCJONES,accepted
131078,2014-09-16,TERA13,accepted
64974,2012-06-15,NORUB,accepted
54666,2012-03-15,ANDY17,accepted
90996,2013-05-14,2SHADY,accepted
3700,2010-11-04,TANGLES,accepted
127372,2014-08-05,LAMPOP,accepted
32928,2011-07-19,IN2DEP,accepted
16900,2011-03-19,OTTOMOBL,accepted
45117,2011-12-01,GAR39,accepted
96216,2013-07-11,PHYSICS5,accepted
100404,2013-08-31,MTURINO,accepted
103002,2013-10-05,MATOI,accepted
124856,2014-07-05,FREEHAT,accepted
120100,2014-05-16,VCIOUS,accepted
33698,2011-07-26,GRWNV,accepted
74127,2012-10-05,BOVE128,accepted
1321,2010-10-13,JOJOBOB,accepted
99151,2013-08-16,FCALAX,accepted
120191,2014-05-17,OASIS2,accepted
84944,2013-03-15,RABR4KH4,accepted
35302,2011-08-09,46R2493,accepted
117842,2014-04-24,LAXCOURT,accepted
118958,2014-05-06,0311E4,accepted
130718,2014-09-11,HBAFRED,accepted
43231,2011-11-05,SK8PRO,accepted
83173,2013-02-26,X289X,accepted
55795,2012-03-22,NEDLUDD,accepted
106978,2013-12-04,SNDBUKT,accepted
65449,2012-06-20,JJPUGG,accepted
754,2010-10-07,CLORINDA,accepted
53234,2012-03-03,INDIVANS,accepted
50089,2012-02-03,BUSYA,accepted
92571,2013-05-30,MN8VAD,accepted
117479,2014-04-22,GLECHIK,accepted
81637,2013-02-06,DGKLAW,accepted
84757,2013-03-14,HMOBILE,accepted
6031,2010-12-02,CLOEE,accepted
4639,2010-11-16,666INC,accepted
46090,2011-12-13,GEMINI1,accepted
7438,2010-12-18,COALMAN,accepted
111809,2014-02-28,PELE2,accepted
26312,2011-05-18,NYCKLR,accepted
120039,2014-05-15,SAG640,accepted
83899,2013-03-06,CHILE11,accepted
36958,2011-08-24,JAYTRE,accepted
35487,2011-08-10,RAL,accepted
90857,2013-05-11,ALEKONA,accepted
95713,2013-07-04,MARCO11,accepted
112622,2014-03-08,BATINALI,accepted
73744,2012-09-29,NAUTIRVR,accepted
31663,2011-07-06,SAUC3,accepted
24944,2011-05-07,WADHOG,accepted
105777,2013-11-14,LLS58,accepted
13911,2011-03-04,MNEYPIT,accepted
40267,2011-10-01,SURFR,accepted
16431,2011-03-18,GDH,accepted
30083,2011-06-18,KELSEYR,accepted
47953,2012-01-07,LVZPUGZ,accepted
34474,2011-08-02,LADYPJW,accepted
125664,2014-07-15,RIGITI,accepted
90564,2013-05-08,19K,accepted
102671,2013-10-01,Q50S,accepted
77305,2012-11-29,EBS1,accepted
56382,2012-03-27,KRAMERJR,accepted
123931,2014-06-25,WWOWW,accepted
927,2010-10-08,2TIM17,accepted
11332,2011-02-05,QBY23,accepted
110976,2014-02-15,DABANKZ,accepted
80241,2013-01-15,ILTL19,accepted
11128,2011-02-04,GZHNDH8,accepted
95117,2013-06-28,S7777J,accepted
24834,2011-05-06,ST3PH,accepted
126370,2014-07-23,DABAUCE,accepted
75926,2012-11-01,SBS75,accepted
125367,2014-07-12,2QU1CK,accepted
4627,2010-11-13,ROSIE13,accepted
24894,2011-05-06,LITLEBOY,accepted
94299,2013-06-19,4F9M10L,accepted
115782,2014-04-05,OHMYGLOB,accepted
66349,2012-06-29,MYLILT,accepted
54184,2012-03-13,GEAUX5,accepted
84165,2013-03-08,1CALLIE,accepted
87190,2013-04-06,JMF265,accepted
47665,2012-01-04,68RUNR,accepted
142,2010-10-01,MORT1MER,accepted
121747,2014-06-04,LIHAWG,accepted
104276,2013-10-23,DRIFTLOL,accepted
46172,2011-12-13,RAMHEMI,accepted
128468,2014-08-16,EFFECT,accepted
118707,2014-05-02,TUNEDG37,accepted
121647,2014-06-03,B45515T,accepted
97073,2013-07-23,SPEWWCO2,accepted
3257,2010-10-29,SARGEUE,accepted
83281,2013-02-27,UWAY2SLO,accepted
59026,2012-04-18,62ALLSTR,accepted
57627,2012-04-05,RNGIRL,accepted
96920,2013-07-20,DWRECK,accepted
83630,2013-03-02,KOOOKY,accepted
39774,2011-09-27,BARBATO,accepted
99873,2013-08-24,DOUG2000,accepted
17191,2011-03-22,3752A3,accepted
10445,2011-01-27,AMIGSA,accepted
23858,2011-04-29,GROCERYS,accepted
22904,2011-04-23,03JJAY,accepted
75830,2012-10-30,CARHLR26,accepted
78706,2012-12-18,CAV3,accepted
92615,2013-05-31,BRZX86,accepted
71231,2012-08-28,MTKKAYS,accepted
65508,2012-06-21,KC2YMP,accepted
55475,2012-03-21,DMAC2,accepted
100166,2013-08-29,CLAUDE1,accepted
91511,2013-05-18,MINIL,accepted
7119,2010-12-14,RELLLINA,accepted
5313,2010-11-23,DAVIVADA,accepted
111439,2014-02-22,BGD69,accepted
101123,2013-09-11,MSSSMUR,accepted
53722,2012-03-08,06VIPER,accepted
101324,2013-09-13,MANGOAXA,accepted
47023,2011-12-24,MNK11937,accepted
34452,2011-08-02,JK2,accepted
78284,2012-12-12,MONNIP,accepted
31239,2011-06-30,LCJ2,accepted
83967,2013-03-07,AFDOC,accepted
3193,2010-10-29,WTRWRLD,accepted
62099,2012-05-15,MBWF083,accepted
65105,2012-06-16,SNORACER,accepted
42056,2011-10-21,MMMMMMMM,accepted
