,outcome
60561,accepted
797,rejected
48988,accepted
22769,accepted
21782,accepted
361,rejected
52825,accepted
127710,accepted
885,rejected
38393,accepted
36635,accepted
65108,accepted
121822,accepted
80835,accepted
1385,rejected
286,rejected
294,rejected
1071,rejected
1256,rejected
1603,rejected
277,rejected
9,rejected
42019,accepted
121747,accepted
1161,rejected
19980,accepted
10553,accepted
739,rejected
1244,rejected
228,rejected
130581,accepted
966,rejected
1458,rejected
375,rejected
47581,accepted
57683,accepted
68246,accepted
27681,accepted
117842,accepted
19043,accepted
1410,rejected
37001,accepted
32523,accepted
716,rejected
85599,accepted
73845,accepted
98280,accepted
52,rejected
109267,accepted
1056,rejected
81,rejected
1112,rejected
93571,accepted
704,rejected
92615,accepted
239,rejected
585,rejected
1302,rejected
1070,rejected
9968,accepted
67973,accepted
599,rejected
1274,rejected
256,rejected
21,rejected
74222,accepted
1129,rejected
1497,rejected
93752,accepted
1443,rejected
51877,accepted
720,rejected
234,rejected
303,rejected
86711,accepted
118293,accepted
113557,accepted
1121,rejected
113132,accepted
126829,accepted
945,rejected
92571,accepted
37917,accepted
24,rejected
66243,accepted
118115,accepted
30249,accepted
1195,rejected
22653,accepted
98758,accepted
101101,accepted
1201,rejected
106144,accepted
15308,accepted
106308,accepted
1586,rejected
929,rejected
1176,rejected
48820,accepted
12431,accepted
49,rejected
9525,accepted
1220,rejected
545,rejected
1359,rejected
1637,rejected
224,rejected
673,rejected
53953,accepted
551,rejected
1059,rejected
529,rejected
30427,accepted
123702,accepted
69071,accepted
1127,rejected
771,rejected
876,rejected
126051,accepted
117222,accepted
108042,accepted
87190,accepted
191,rejected
269,rejected
1372,rejected
48671,accepted
24035,accepted
43605,accepted
61432,accepted
1491,rejected
940,rejected
126681,accepted
85119,accepted
28305,accepted
1433,rejected
126935,accepted
19433,accepted
125304,accepted
1597,rejected
96329,accepted
60808,accepted
898,rejected
48522,accepted
1411,rejected
19,rejected
43860,accepted
1464,rejected
517,rejected
42697,accepted
14346,accepted
120970,accepted
1257,rejected
1194,rejected
23597,accepted
14979,accepted
119815,accepted
7119,accepted
118711,accepted
1581,rejected
63,rejected
12524,accepted
1633,rejected
66100,accepted
802,rejected
121945,accepted
31239,accepted
489,rejected
118539,accepted
11828,accepted
9720,accepted
816,rejected
41209,accepted
86739,accepted
18898,accepted
408,rejected
312,rejected
688,rejected
45322,accepted
89214,accepted
76580,accepted
533,rejected
27328,accepted
92576,accepted
28,rejected
1165,rejected
1268,rejected
66690,accepted
1367,rejected
1431,rejected
1114,rejected
1083,rejected
70473,accepted
465,rejected
3947,accepted
982,rejected
507,rejected
965,rejected
471,rejected
66136,accepted
1556,rejected
23,rejected
792,rejected
103329,accepted
763,rejected
71579,accepted
1339,rejected
93178,accepted
43323,accepted
7036,accepted
1185,rejected
1568,rejected
105711,accepted
100615,accepted
1513,rejected
125407,accepted
745,rejected
30983,accepted
21602,accepted
604,rejected
97450,accepted
803,rejected
117128,accepted
41433,accepted
595,rejected
385,rejected
119809,accepted
115041,accepted
73014,accepted
582,rejected
612,rejected
1089,rejected
125664,accepted
653,rejected
106393,accepted
1170,rejected
118958,accepted
872,rejected
35637,accepted
21198,accepted
274,rejected
244,rejected
101323,accepted
707,rejected
1486,rejected
32473,accepted
103544,accepted
24195,accepted
342,rejected
1471,rejected
513,rejected
65593,accepted
126926,accepted
91927,accepted
433,rejected
57583,accepted
54176,accepted
58577,accepted
952,rejected
1203,rejected
116765,accepted
93509,accepted
1120,rejected
56629,accepted
51520,accepted
194,rejected
125367,accepted
113151,accepted
11735,accepted
752,accepted
45744,accepted
348,rejected
120191,accepted
27341,accepted
238,rejected
782,rejected
67450,accepted
944,rejected
1460,rejected
117015,accepted
44,rejected
77304,accepted
1113,rejected
124684,accepted
53632,accepted
1058,rejected
1504,rejected
1152,rejected
116163,accepted
126975,accepted
1645,rejected
23954,accepted
1286,rejected
27275,accepted
111073,accepted
100883,accepted
34,rejected
101578,accepted
1065,rejected
108063,accepted
96970,accepted
120151,accepted
1591,rejected
55810,accepted
978,rejected
55870,accepted
44411,accepted
22812,accepted
1130,rejected
14457,accepted
64,rejected
14071,accepted
31914,accepted
402,rejected
131423,accepted
74140,accepted
19199,accepted
301,rejected
7402,accepted
1199,rejected
1032,rejected
757,rejected
760,rejected
75336,accepted
116381,accepted
3593,accepted
19137,accepted
941,rejected
94564,accepted
3643,accepted
68425,accepted
815,rejected
1462,rejected
913,rejected
68839,accepted
35704,accepted
15486,accepted
4420,accepted
933,rejected
61854,accepted
916,rejected
1318,rejected
88,rejected
39,rejected
562,rejected
105916,accepted
51371,accepted
54256,accepted
107238,accepted
79431,accepted
94115,accepted
27311,accepted
16464,accepted
247,rejected
530,rejected
74414,accepted
1422,rejected
9183,accepted
48705,accepted
57881,accepted
15885,accepted
267,rejected
115782,accepted
318,rejected
1143,rejected
36066,accepted
122034,accepted
1327,rejected
461,rejected
14433,accepted
57270,accepted
109773,accepted
14372,accepted
676,rejected
170,rejected
45852,accepted
59090,accepted
27722,accepted
118170,accepted
1492,rejected
49287,accepted
1223,rejected
845,rejected
4000,accepted
23844,accepted
1207,rejected
22709,accepted
1320,rejected
23505,accepted
389,rejected
59793,accepted
1525,rejected
45391,accepted
352,rejected
2040,accepted
1243,rejected
601,rejected
26126,accepted
635,rejected
268,rejected
447,rejected
497,rejected
123745,accepted
127680,accepted
106978,accepted
109663,accepted
1628,rejected
81759,accepted
70,rejected
99287,accepted
443,rejected
21311,accepted
483,rejected
338,rejected
2120,accepted
1459,rejected
89686,accepted
1103,rejected
1126,rejected
17287,accepted
921,rejected
52944,accepted
113401,accepted
6255,accepted
19947,accepted
587,rejected
955,rejected
1524,rejected
101369,accepted
742,rejected
1237,rejected
79641,accepted
654,rejected
27864,accepted
367,rejected
731,rejected
313,rejected
1098,rejected
1364,rejected
20450,accepted
49289,accepted
97425,accepted
899,rejected
532,rejected
57,rejected
146,rejected
895,rejected
1205,rejected
74458,accepted
16086,accepted
61882,accepted
91127,accepted
451,rejected
37366,accepted
893,rejected
93252,accepted
106841,accepted
105832,accepted
96149,accepted
75093,accepted
1314,rejected
1428,rejected
903,rejected
64533,accepted
1509,rejected
79755,accepted
285,rejected
54646,accepted
44112,accepted
485,rejected
117420,accepted
46128,accepted
1519,rejected
1454,rejected
54666,accepted
531,rejected
91581,accepted
738,rejected
1085,rejected
1101,rejected
121102,accepted
777,accepted
94438,accepted
56800,accepted
25,rejected
1563,rejected
1216,rejected
709,rejected
1456,rejected
30541,accepted
865,rejected
55285,accepted
1605,rejected
18985,accepted
100166,accepted
6525,accepted
1439,rejected
1013,rejected
67535,accepted
1363,rejected
37,rejected
46090,accepted
69458,accepted
11332,accepted
113839,accepted
34474,accepted
116821,accepted
10772,accepted
1046,rejected
20831,accepted
6137,accepted
8810,accepted
7734,accepted
137,rejected
549,rejected
547,rejected
123132,accepted
126,rejected
65136,accepted
868,rejected
412,rejected
542,rejected
1495,rejected
10639,accepted
59031,accepted
6444,accepted
1139,rejected
62720,accepted
44096,accepted
84155,accepted
248,rejected
946,rejected
924,rejected
1463,rejected
71231,accepted
473,rejected
109815,accepted
598,rejected
4458,accepted
53133,accepted
65543,accepted
733,rejected
47953,accepted
791,rejected
77431,accepted
33,rejected
1532,rejected
1166,rejected
60245,accepted
85,rejected
3193,accepted
25802,accepted
826,rejected
86391,accepted
657,rejected
41982,accepted
21691,accepted
1191,rejected
99512,accepted
1347,rejected
8074,accepted
28134,accepted
108514,accepted
32759,accepted
1088,rejected
1017,rejected
2503,accepted
617,rejected
67887,accepted
15,rejected
113461,accepted
90521,accepted
210,rejected
52379,accepted
773,rejected
78497,accepted
63117,accepted
438,rejected
93687,accepted
1147,rejected
115557,accepted
153,rejected
638,rejected
4074,accepted
736,rejected
379,rejected
340,rejected
120044,accepted
122278,accepted
36958,accepted
918,rejected
102158,accepted
104346,accepted
86509,accepted
86,rejected
120715,accepted
18,rejected
98901,accepted
730,rejected
130170,accepted
843,rejected
45449,accepted
1452,rejected
754,accepted
894,rejected
114389,accepted
11376,accepted
34944,accepted
39465,accepted
42656,accepted
1084,rejected
609,rejected
112163,accepted
90886,accepted
195,rejected
43042,accepted
102123,accepted
1140,rejected
581,rejected
407,rejected
63598,accepted
1145,rejected
1516,rejected
4205,accepted
805,rejected
50203,accepted
315,rejected
452,rejected
75510,accepted
108315,accepted
1406,rejected
13596,accepted
103,rejected
42485,accepted
696,rejected
580,rejected
825,rejected
5489,accepted
14080,accepted
95928,accepted
410,rejected
341,rejected
81495,accepted
61350,accepted
81709,accepted
127423,accepted
84,rejected
22,rejected
204,rejected
14507,accepted
765,rejected
1517,accepted
27904,accepted
961,rejected
689,rejected
2287,accepted
1310,rejected
54544,accepted
60172,accepted
122924,accepted
83812,accepted
40337,accepted
106972,accepted
108398,accepted
77299,accepted
1188,rejected
47251,accepted
90707,accepted
1149,rejected
123690,accepted
119974,accepted
76896,accepted
158,rejected
87383,accepted
339,rejected
1594,accepted
744,rejected
936,accepted
46805,accepted
34742,accepted
79404,accepted
474,rejected
17166,accepted
48813,accepted
1248,rejected
28740,accepted
108603,accepted
118014,accepted
57743,accepted
127372,accepted
131330,accepted
50737,accepted
82735,accepted
4504,accepted
22360,accepted
42572,accepted
50734,accepted
68,rejected
109307,accepted
59234,accepted
30317,accepted
1515,rejected
52781,accepted
20984,accepted
10564,accepted
10220,accepted
467,rejected
77305,accepted
1521,accepted
7,rejected
40373,accepted
40194,accepted
89793,accepted
32288,accepted
1528,rejected
1601,rejected
1281,rejected
781,rejected
127824,accepted
1426,rejected
67028,accepted
819,rejected
64114,accepted
732,rejected
1100,rejected
90,rejected
21322,accepted
82063,accepted
52887,accepted
72976,accepted
12320,accepted
540,rejected
1067,rejected
159,rejected
38598,accepted
1533,rejected
90692,accepted
103778,accepted
83899,accepted
938,rejected
96620,accepted
78654,accepted
121312,accepted
1580,rejected
850,rejected
400,rejected
12,rejected
29951,accepted
633,rejected
1148,rejected
108564,accepted
406,rejected
788,rejected
63061,accepted
26264,accepted
86798,accepted
4,rejected
112,rejected
1124,rejected
76564,accepted
59980,accepted
889,rejected
69084,accepted
930,rejected
785,rejected
316,rejected
526,rejected
516,rejected
55293,accepted
104276,accepted
116034,accepted
93141,accepted
125632,accepted
26790,accepted
252,rejected
118731,accepted
123435,accepted
167,rejected
283,rejected
93091,accepted
112592,accepted
35487,accepted
951,rejected
1632,rejected
786,rejected
44325,accepted
86707,accepted
65222,accepted
164,rejected
105459,accepted
80278,accepted
3,rejected
495,rejected
54575,accepted
1158,accepted
1414,rejected
94554,accepted
1183,rejected
41698,accepted
117433,accepted
1118,rejected
983,rejected
62656,accepted
4662,accepted
1574,rejected
134,rejected
453,rejected
380,rejected
28898,accepted
107218,accepted
62051,accepted
102909,accepted
24175,accepted
862,rejected
89783,accepted
860,rejected
32651,accepted
102870,accepted
40503,accepted
1640,rejected
852,rejected
614,rejected
1642,rejected
698,rejected
717,rejected
652,rejected
41682,accepted
1020,rejected
130718,accepted
776,rejected
128443,accepted
1300,rejected
107,rejected
47232,accepted
13911,accepted
130496,accepted
1596,rejected
128066,accepted
1242,rejected
1321,accepted
1598,rejected
57627,accepted
699,rejected
79928,accepted
32835,accepted
66739,accepted
117466,accepted
643,rejected
91383,accepted
112042,accepted
94445,accepted
125000,accepted
354,rejected
6960,accepted
29350,accepted
65508,accepted
92514,accepted
84698,accepted
78223,accepted
96580,accepted
1619,rejected
115703,accepted
115135,accepted
122934,accepted
575,rejected
950,rejected
45682,accepted
626,rejected
1111,rejected
95824,accepted
59790,accepted
95777,accepted
1393,rejected
309,rejected
987,rejected
281,rejected
486,rejected
289,rejected
91347,accepted
56392,accepted
1583,rejected
126756,accepted
33698,accepted
65403,accepted
70862,accepted
1501,rejected
1192,rejected
38811,accepted
55621,accepted
521,rejected
59827,accepted
29967,accepted
95713,accepted
121976,accepted
1507,rejected
95130,accepted
81997,accepted
34469,accepted
63847,accepted
41337,accepted
56511,accepted
1171,rejected
98737,accepted
72909,accepted
92770,accepted
35478,accepted
28865,accepted
107328,accepted
87222,accepted
66323,accepted
1227,rejected
72557,accepted
24189,accepted
21502,accepted
60895,accepted
1144,rejected
1009,rejected
424,rejected
106470,accepted
127652,accepted
57747,accepted
27601,accepted
378,rejected
364,rejected
118215,accepted
106479,accepted
1472,rejected
65105,accepted
66077,accepted
168,rejected
962,rejected
40434,accepted
1550,rejected
92285,accepted
66514,accepted
127783,accepted
85790,accepted
83845,accepted
50928,accepted
67586,accepted
1049,rejected
115442,accepted
1290,rejected
60649,accepted
630,rejected
565,rejected
40271,accepted
61089,accepted
114692,accepted
35,rejected
101333,accepted
343,rejected
434,rejected
1500,rejected
115983,accepted
45554,accepted
75585,accepted
62786,accepted
1469,rejected
548,rejected
64208,accepted
687,rejected
1383,rejected
114053,accepted
108471,accepted
155,rejected
38275,accepted
56,rejected
1629,rejected
1402,rejected
113887,accepted
50052,accepted
1182,rejected
1523,rejected
72254,accepted
83281,accepted
1266,rejected
423,rejected
249,rejected
1177,rejected
1484,rejected
22163,accepted
2045,accepted
1151,rejected
93996,accepted
33615,accepted
409,rejected
5212,accepted
117350,accepted
849,rejected
74820,accepted
89656,accepted
16,rejected
718,rejected
64120,accepted
809,rejected
121387,accepted
58228,accepted
33860,accepted
1587,rejected
68068,accepted
646,accepted
115528,accepted
295,rejected
578,rejected
1196,rejected
1380,rejected
1474,rejected
42626,accepted
498,rejected
198,rejected
43890,accepted
225,rejected
31663,accepted
240,rejected
46218,accepted
445,rejected
1190,rejected
666,rejected
960,rejected
120983,accepted
560,rejected
1108,rejected
1128,rejected
86285,accepted
48069,accepted
1570,rejected
384,rejected
1159,rejected
427,rejected
54,rejected
59632,accepted
40533,accepted
948,rejected
68235,accepted
1387,rejected
20,rejected
17192,accepted
713,rejected
119667,accepted
10329,accepted
87303,accepted
16337,accepted
1329,rejected
29618,accepted
65449,accepted
383,rejected
43188,accepted
129349,accepted
1097,rejected
81492,accepted
740,rejected
973,rejected
42661,accepted
48000,accepted
131505,accepted
284,rejected
90564,accepted
1388,rejected
55166,accepted
22904,accepted
41,rejected
111914,accepted
96249,accepted
1379,rejected
2258,accepted
997,rejected
523,rejected
994,rejected
62125,accepted
37170,accepted
62474,accepted
1434,rejected
302,rejected
61776,accepted
2057,accepted
123,rejected
4379,accepted
51310,accepted
319,rejected
112131,accepted
43908,accepted
506,rejected
376,rejected
94662,accepted
73744,accepted
91071,accepted
115038,accepted
97384,accepted
1334,rejected
105777,accepted
93746,accepted
38796,accepted
818,rejected
62455,accepted
26603,accepted
59026,accepted
755,rejected
1397,rejected
17296,accepted
416,rejected
1245,rejected
591,rejected
125170,accepted
54775,accepted
35528,accepted
884,rejected
10657,accepted
26,rejected
24626,accepted
111617,accepted
78863,accepted
1584,rejected
648,rejected
557,rejected
100428,accepted
75150,accepted
1293,rejected
56258,accepted
1522,rejected
1395,rejected
42015,accepted
381,rejected
1062,rejected
95070,accepted
257,rejected
182,rejected
1172,rejected
5628,accepted
71,rejected
920,rejected
8,rejected
123249,accepted
556,rejected
457,rejected
24933,accepted
6191,accepted
705,rejected
11128,accepted
100095,accepted
34260,accepted
48404,accepted
49737,accepted
1303,rejected
496,rejected
70361,accepted
985,rejected
724,rejected
73379,accepted
14350,accepted
36572,accepted
1559,rejected
1229,rejected
79768,accepted
21716,accepted
458,rejected
143,rejected
1292,rejected
14,rejected
1119,rejected
45448,accepted
271,rejected
52830,accepted
468,rejected
166,rejected
58593,accepted
35350,accepted
217,rejected
1415,rejected
58782,accepted
1004,rejected
133,rejected
937,rejected
1288,rejected
105714,accepted
119940,accepted
11050,accepted
34157,accepted
107012,accepted
111267,accepted
181,rejected
25380,accepted
75926,accepted
261,rejected
3637,accepted
1074,rejected
111,rejected
117648,accepted
120238,accepted
47246,accepted
15618,accepted
48090,accepted
15589,accepted
66733,accepted
114953,accepted
100377,accepted
1052,rejected
799,rejected
1551,rejected
130629,accepted
798,rejected
839,rejected
128603,accepted
20923,accepted
79083,accepted
1035,rejected
2622,accepted
671,rejected
853,rejected
19604,accepted
1420,rejected
1252,rejected
48,rejected
75636,accepted
125,rejected
1368,rejected
29962,accepted
101,rejected
116098,accepted
891,rejected
726,rejected
7823,accepted
106784,accepted
117612,accepted
51323,accepted
466,rejected
1133,rejected
123341,accepted
36732,accepted
76349,accepted
72515,accepted
1392,rejected
72,rejected
116093,accepted
1018,rejected
109,rejected
103385,accepted
96845,accepted
111806,accepted
81750,accepted
100163,accepted
74,rejected
613,rejected
1398,rejected
52481,accepted
44564,accepted
87831,accepted
958,rejected
54700,accepted
836,rejected
989,rejected
5313,accepted
78284,accepted
558,rejected
129593,accepted
512,rejected
28662,accepted
179,rejected
1131,rejected
347,rejected
661,rejected
121953,accepted
119235,accepted
89469,accepted
125329,accepted
88552,accepted
37791,accepted
680,rejected
80,rejected
4874,accepted
10955,accepted
109086,accepted
866,rejected
355,rejected
827,rejected
54077,accepted
131193,accepted
1036,rejected
1142,rejected
1122,accepted
1222,rejected
90586,accepted
45381,accepted
972,rejected
37644,accepted
52918,accepted
122917,accepted
165,rejected
113404,accepted
230,rejected
87036,accepted
124046,accepted
220,rejected
1400,rejected
1404,rejected
112002,accepted
1485,rejected
114304,accepted
96,rejected
6038,accepted
226,rejected
111783,accepted
129609,accepted
401,rejected
21457,accepted
1331,rejected
94832,accepted
41351,accepted
1526,rejected
1311,rejected
58432,accepted
69239,accepted
38889,accepted
592,rejected
98947,accepted
1511,rejected
37766,accepted
563,rejected
117425,accepted
45117,accepted
97438,accepted
108363,accepted
710,rejected
677,rejected
99941,accepted
1292,accepted
334,rejected
126548,accepted
350,rejected
1263,rejected
33599,accepted
47917,accepted
18257,accepted
886,rejected
32150,accepted
56382,accepted
12896,accepted
124,rejected
579,rejected
39680,accepted
117684,accepted
112841,accepted
1348,rejected
1646,rejected
979,rejected
18840,accepted
1600,rejected
750,rejected
119939,accepted
262,rejected
60984,accepted
659,rejected
124403,accepted
59084,accepted
1016,rejected
120372,accepted
72378,accepted
110746,accepted
130387,accepted
662,rejected
1236,rejected
1595,rejected
618,rejected
23265,accepted
86348,accepted
188,rejected
748,rejected
12158,accepted
56175,accepted
82919,accepted
1246,rejected
105484,accepted
75054,accepted
1592,rejected
1008,rejected
762,rejected
86921,accepted
668,rejected
88249,accepted
28620,accepted
74203,accepted
322,rejected
572,rejected
70869,accepted
511,rejected
69217,accepted
12905,accepted
1483,rejected
34454,accepted
55475,accepted
1005,rejected
857,rejected
148,rejected
121430,accepted
47741,accepted
83674,accepted
66255,accepted
105495,accepted
78822,accepted
102440,accepted
26988,accepted
17070,accepted
932,rejected
1564,rejected
72015,accepted
897,rejected
10348,accepted
1624,rejected
1444,rejected
197,rejected
45466,accepted
48035,accepted
11406,accepted
126370,accepted
607,rejected
1349,rejected
147,rejected
201,rejected
88215,accepted
13504,accepted
62446,accepted
72244,accepted
873,rejected
37061,accepted
85365,accepted
3971,accepted
38015,accepted
1328,rejected
1217,rejected
30994,accepted
128137,accepted
783,rejected
1037,rejected
394,rejected
128960,accepted
105421,accepted
1552,rejected
221,rejected
807,rejected
59589,accepted
17035,accepted
45684,accepted
94,rejected
46172,accepted
418,rejected
60352,accepted
104427,accepted
356,rejected
120952,accepted
51307,accepted
35302,accepted
21554,accepted
1045,rejected
1168,rejected
95712,accepted
16984,accepted
212,rejected
890,rejected
87397,accepted
30,rejected
790,rejected
1033,rejected
116321,accepted
1029,rejected
846,rejected
6589,accepted
98,rejected
113184,accepted
854,rejected
561,rejected
126813,accepted
9547,accepted
622,rejected
331,rejected
28915,accepted
675,rejected
848,rejected
1361,rejected
975,rejected
31,rejected
48582,accepted
9726,accepted
74844,accepted
272,rejected
647,rejected
94057,accepted
183,rejected
28380,accepted
1264,rejected
64842,accepted
68449,accepted
39964,accepted
1503,rejected
1413,rejected
93339,accepted
1401,rejected
66711,accepted
121462,accepted
100490,accepted
97713,accepted
30641,accepted
4855,accepted
227,rejected
980,rejected
1455,rejected
70402,accepted
116603,accepted
45325,accepted
81272,accepted
764,rejected
1296,rejected
81245,accepted
1613,rejected
1134,rejected
102578,accepted
67943,accepted
92461,accepted
54747,accepted
102953,accepted
1423,rejected
121881,accepted
68519,accepted
53722,accepted
43348,accepted
756,rejected
831,rejected
23858,accepted
103002,accepted
822,rejected
1298,rejected
77191,accepted
96778,accepted
1631,rejected
83484,accepted
121345,accepted
34826,accepted
114756,accepted
49247,accepted
9498,accepted
1371,rejected
76207,accepted
753,rejected
54481,accepted
1091,rejected
99893,accepted
18982,accepted
123182,accepted
351,rejected
37969,accepted
63249,accepted
957,rejected
93,rejected
1150,rejected
101324,accepted
78196,accepted
842,rejected
126035,accepted
35977,accepted
414,rejected
114699,accepted
11796,accepted
263,rejected
108,rejected
102,rejected
72375,accepted
4475,accepted
1025,rejected
346,rejected
1122,rejected
109365,accepted
94154,accepted
124327,accepted
126317,accepted
1285,rejected
95224,accepted
107294,accepted
10,rejected
81839,accepted
117391,accepted
107697,accepted
73709,accepted
1109,rejected
118227,accepted
691,rejected
99064,accepted
1429,rejected
120,rejected
1630,rejected
77812,accepted
1153,rejected
678,rejected
1588,rejected
59995,accepted
36745,accepted
73067,accepted
795,rejected
690,rejected
79140,accepted
1476,rejected
667,rejected
59167,accepted
15825,accepted
74065,accepted
298,rejected
1386,rejected
13052,accepted
73790,accepted
28011,accepted
79316,accepted
35364,accepted
70148,accepted
725,rejected
71119,accepted
875,rejected
84590,accepted
1064,rejected
43403,accepted
1638,rejected
73,rejected
78706,accepted
50439,accepted
34456,accepted
13710,accepted
90603,accepted
291,rejected
927,rejected
37900,accepted
47638,accepted
72464,accepted
83386,accepted
637,rejected
42796,accepted
95117,accepted
18974,accepted
19717,accepted
55795,accepted
65,rejected
126684,accepted
52230,accepted
570,rejected
509,rejected
175,rejected
1477,rejected
449,rejected
1214,rejected
115673,accepted
1635,rejected
1233,rejected
79392,accepted
50151,accepted
82532,accepted
100719,accepted
829,rejected
100242,accepted
559,rejected
1096,rejected
112098,accepted
110813,accepted
39252,accepted
186,rejected
1095,rejected
1253,rejected
1055,rejected
54835,accepted
246,rejected
250,rejected
62730,accepted
88628,accepted
909,rejected
1304,rejected
986,rejected
83297,accepted
1553,rejected
358,rejected
405,rejected
